husband	Victoria of house of Hanover	Albert Augustus Charles
wife	Albert Augustus Charles	Victoria of house of Hanover
father	Victoria Adelaide Mary	Albert Augustus Charles
uncle	Victoria Adelaide Mary	Ernest_II of_Saxe-Coburg- Saalfeld
niece	Ernest_II of_Saxe-Coburg- Saalfeld	Victoria Adelaide Mary
mother	Victoria Adelaide Mary	Victoria of house of Hanover
daughter	Albert Augustus Charles	Victoria Adelaide Mary
daughter	Victoria of house of Hanover	Victoria Adelaide Mary
sister	Edward_VII of house of Wettin	Victoria Adelaide Mary
sister	Alice Maud Mary	Victoria Adelaide Mary
sister	Alfred Ernest Albert	Victoria Adelaide Mary
sister	Helena Augusta Victoria	Victoria Adelaide Mary
sister	Louise Caroline Alberta	Victoria Adelaide Mary
sister	Arthur William Patrick	Victoria Adelaide Mary
sister	Leopold George Duncan	Victoria Adelaide Mary
sister	Beatrice Mary Victoria	Victoria Adelaide Mary
father	Edward_VII of house of Wettin	Albert Augustus Charles
uncle	Edward_VII of house of Wettin	Ernest_II of_Saxe-Coburg- Saalfeld
nephew	Ernest_II of_Saxe-Coburg- Saalfeld	Edward_VII of house of Wettin
mother	Edward_VII of house of Wettin	Victoria of house of Hanover
son	Albert Augustus Charles	Edward_VII of house of Wettin
son	Victoria of house of Hanover	Edward_VII of house of Wettin
brother	Victoria Adelaide Mary	Edward_VII of house of Wettin
brother	Alice Maud Mary	Edward_VII of house of Wettin
brother	Alfred Ernest Albert	Edward_VII of house of Wettin
brother	Helena Augusta Victoria	Edward_VII of house of Wettin
brother	Louise Caroline Alberta	Edward_VII of house of Wettin
brother	Arthur William Patrick	Edward_VII of house of Wettin
brother	Leopold George Duncan	Edward_VII of house of Wettin
brother	Beatrice Mary Victoria	Edward_VII of house of Wettin
father	Alice Maud Mary	Albert Augustus Charles
uncle	Alice Maud Mary	Ernest_II of_Saxe-Coburg- Saalfeld
niece	Ernest_II of_Saxe-Coburg- Saalfeld	Alice Maud Mary
mother	Alice Maud Mary	Victoria of house of Hanover
